Unnamed: 0,time,m10x,m10y,m10z,m11x,m11y,m11z,m1x,m1y,m1z,m2x,m2y,m2z,m3x,m3y,m3z,m4x,m4y,m4z,m5x,m5y,m5z,m6x,m6y,m6z,m7x,m7y,m7z,m8x,m8y,m8z,m9x,m9y,m9z
0.0,0.0,0.11553922830789848,0.9450228791657311,0.0,0.17670939196071153,0.8822607755392539,0.0,0.0,0.0,0.0,0.07800305157955804,0.36082971269315356,0.0,0.05167808359374967,0.5940701618476295,0.0,-0.07744071906677509,0.8492697229268328,0.0,-0.07362723921715589,1.0093054717621035,0.0,-0.021394252295079685,1.2691705021115298,0.0,0.09463479108031338,1.4051351732474433,0.0,0.15963948305066775,1.5089523611583209,0.0,0.08340865349580556,1.0507689282732338,0.0
0.0,0.0,0.11575485791443435,0.9450345033669911,0.0,0.1769017363496473,0.8822497135643496,0.0,0.0,0.0,0.0,0.07792887475789904,0.3608457400287755,0.0,0.051595218520076924,0.5940852084092014,0.0,-0.07744696777725464,0.849373006750025,0.0,-0.07350645876984893,1.0094056781724312,0.0,-0.0210672172140546,1.2692291660759754,0.0,0.095088549768507,1.4050855921308323,0.0,0.160190013074231,1.5088421242593522,0.0,0.08366062595321752,1.0507915883042258,0.0
0.0,0.0,0.11607273506157566,0.9450649643337621,0.0,0.17718541808850194,0.8822468893379216,0.0,0.0,0.0,0.0,0.0778128157946951,0.36087078479152035,0.0,0.05152236997174606,0.5941151277447121,0.0,-0.07739423131406335,0.8495112451578464,0.0,-0.07330331248985861,1.0095401422889678,0.0,-0.020619891114746172,1.2693142288209436,0.0,0.09568796885259709,1.405040469517144,0.0,0.16090560371545903,1.5087240197398166,0.0,0.08402073026013589,1.0508348547932418,0.0
0.0,0.0,0.116363109719609,0.945087821675677,0.0,0.17744449509119986,0.8822393138650709,0.0,0.0,0.0,0.0,0.0777089947536441,0.36089315559085494,0.0,0.051439687281648286,0.5941398802113247,0.0,-0.07736620591267754,0.8496419283136964,0.0,-0.0731258495260799,1.0096669354580297,0.0,-0.020199866999070053,1.269391711509258,0.0,0.09625807781504514,1.4049891959747838,0.0,0.16159037946991706,1.508600531476069,0.0,0.0843533954814227,1.0508705184364964,0.0
0.0,0.0,0.11658821186200348,0.945090148521105,0.0,0.1776451727385855,0.8822179121886177,0.0,0.0,0.0,0.0,0.07763572790151928,0.3609089239283897,0.0,0.051322623080323586,0.5941507117278839,0.0,-0.07741079517586072,0.8497580051534022,0.0,-0.07301503846639897,1.0097788189770436,0.0,-0.019836858858023124,1.2694520754645944,0.0,0.09677434630213752,1.4049177815853722,0.0,0.16222377077780403,1.508455172511004,0.0,0.08462347920257379,1.0508864462144223,0.0
0.0,0.0,0.11674211444749108,0.9450592211481301,0.0,0.1777820515843847,0.8821704570701434,0.0,0.0,0.0,0.0,0.07760089772877317,0.3609164145472403,0.0,0.05113067313962717,0.5941404233272879,0.0,-0.07758141952031804,0.8498685132687848,0.0,-0.0729958339182277,1.009883999827165,0.0,-0.019509642489685404,1.2694939885559875,0.0,0.09728438598447096,1.4048021021947636,0.0,0.16287356519148538,1.50825101738885,0.0,0.08483390931140794,1.0508725812903894,0.0
0.0,0.0,0.11682597794498786,0.9450052688047454,0.0,0.1778562835110511,0.8821071577405366,0.0,0.0,0.0,0.0,0.07759907234166463,0.3609168070202052,0.0,0.05090047355988843,0.5941147827496811,0.0,-0.07783161568534672,0.8499633237451628,0.0,-0.07304878584261329,1.0099730361770172,0.0,-0.019242619277645846,1.269516896364256,0.0,0.09773852162621799,1.4046632739573546,0.0,0.16347077908516186,1.5080213351487015,0.0,0.08497750776682769,1.0508366237375473,0.0
0.0,0.0,0.11695269379955528,0.9449691258272674,0.0,0.17796890028222973,0.8820573374295734,0.0,0.0,0.0,0.0,0.0775747015025178,0.36092204602204925,0.0,0.050711211786975116,0.5941010844915018,0.0,-0.07801095556793788,0.8500622595023223,0.0,-0.07304853635939748,1.0100665029755127,0.0,-0.018951095749017398,1.269549808489984,0.0,0.09820195902725111,1.4045471879471225,0.0,0.1640657130366008,1.5078215041718208,0.0,0.08515796990913882,1.0508166400745753,0.0
0.0,0.0,0.1171493610643391,0.9449445273933741,0.0,0.17814399160034075,0.8820118203269428,0.0,0.0,0.0,0.0,0.0775219676888874,0.36093337632254247,0.0,0.050526763340363184,0.594097202855341,0.0,-0.07815234174933375,0.8501854608616756,0.0,-0.07299283483540965,1.0101834702937758,0.0,-0.01857580657978463,1.269599942317309,0.0,0.09876768769079154,1.4044318193200314,0.0,0.16477715344696392,1.5076130623560977,0.0,0.08541288484598392,1.0508095207426567,0.0
0.0,0.0,0.1174865523717169,0.9449503577058511,0.0,0.1784446320551358,0.8819822459806093,0.0,0.0,0.0,0.0,0.07740925243168927,0.36095756711269256,0.0,0.05037371251446103,0.5941167201447352,0.0,-0.07819037629000955,0.8503518897849262,0.0,-0.07281485346505781,1.0103427873015902,0.0,-0.018047624790968102,1.269685551967717,0.0,0.09950853083480327,1.4043320557403565,0.0,0.1656807671353304,1.5074089863643827,0.0,0.0858123529608901,1.0508340005940944,0.0
0.0,0.0,0.1178906347470566,0.9449520493651763,0.0,0.17880485490666337,0.8819415077449081,0.0,0.0,0.0,0.0,0.07727601528120433,0.3609861148025032,0.0,0.050176949839201415,0.594137893078813,0.0,-0.07825239310457285,0.8505546026725131,0.0,-0.07260806946389821,1.010536242695575,0.0,-0.017405183836852106,1.2697866242570248,0.0,0.10041466650012185,1.404202447619749,0.0,0.16678881671764872,1.5071494760702306,0.0,0.08629415151954871,1.050858909328333,0.0
0.0,0.0,0.11796857072247716,0.9448509345950903,0.0,0.1788734568833869,0.8818313708497008,0.0,0.0,0.0,0.0,0.0772947511427997,0.3609821035227641,0.0,0.04981496540991976,0.5940893158464298,0.0,-0.07866909144784248,0.8506803683974913,0.0,-0.07273100572664042,1.0106513741197687,0.0,-0.017052156051657587,1.2697999504619526,0.0,0.10104287482160208,1.4039740701227494,0.0,0.16762783170902487,1.5067848769486039,0.0,0.08646177207542381,1.0507845099081887,0.0
