PC1,PC2,PC3,PC4,PC5,PC6
-1.46292689296094,-0.8371445150116353,-0.6540647742306537,-0.00918145369784283,0.2819332604046874,-0.12938574545725867
-1.4604021901528315,-0.8371757442764626,-0.6511663677713642,-0.009929907996969977,0.28074584413094905,-0.13018172417779514
-1.45801706376168,-0.8362524261730854,-0.6500619685001485,-0.010622513969427209,0.2781638843952455,-0.12994141935548909
-1.4565100880547048,-0.8346782229634326,-0.6477181990793585,-0.010909458463483119,0.2765213391901947,-0.12946127717019665
-1.4530659633031269,-0.8344176944288979,-0.6460869070507336,-0.011738488577870803,0.27459277034325047,-0.1285180069545257
-1.4525828991761847,-0.8309530281351449,-0.6462054276855224,-0.011894579538981966,0.2728423388252947,-0.12699306492017035
-1.4511766087171918,-0.8286432259386814,-0.6452753536197439,-0.012263863717042871,0.27199802035706433,-0.1258444308511578
-1.4505479275881352,-0.8264728955119051,-0.6431585549037883,-0.012495373131118795,0.2717149988272672,-0.12505234885612246
-1.4494823090690712,-0.8244180292183907,-0.6409619472199076,-0.01273433113245743,0.2713232166769275,-0.12482081035896256
-1.4481096107891978,-0.822989937747975,-0.6379192544279398,-0.012892376411517548,0.27076345059566337,-0.12448999517223484
-1.4468003725034524,-0.8213263109503965,-0.6357724610371808,-0.013024612722298289,0.26994721302876556,-0.12390073228782467
-1.4453271704920634,-0.819856083718449,-0.6329315191685961,-0.012875557910876224,0.26922596636557244,-0.12248367880319125
-1.4447169168391532,-0.8174363715322973,-0.6324633515650638,-0.013035047537852276,0.2675097910025714,-0.12101761553194414
-1.4437578209546391,-0.8164956222563109,-0.6289785360114757,-0.01322491596651351,0.26704214279300686,-0.1198533920278405
-1.44322302914847,-0.8148841705554668,-0.6265037536500867,-0.013463580235201073,0.2660849065939253,-0.1186120628884314
-1.44209769309694,-0.8136824104300262,-0.6239135298602304,-0.013829404169860674,0.26478924616096644,-0.11721373561474484
-1.4411500333761198,-0.8122376923340281,-0.6212630646461437,-0.014235730540379462,0.2636485016650891,-0.11571841555096227
-1.4397236621085594,-0.8102694449263788,-0.6191584986240415,-0.01449026877983067,0.2625353679217693,-0.11384419818256503
-1.4392673653374373,-0.8081339733180144,-0.6180786712803246,-0.015076520188234329,0.26064702128793893,-0.11275791414139766
-1.4398973808167572,-0.8050882180010784,-0.6163465510601283,-0.015261072573177591,0.25895961177188864,-0.11206344393789179
-1.4407136253493862,-0.8021293950086916,-0.6134986123284049,-0.01530179912460789,0.2578344081305655,-0.11172775972837429
-1.4399649471322138,-0.7998233211155211,-0.6104364092200737,-0.015319650053129264,0.25678311095519935,-0.1116289994501913
-1.439089254013623,-0.7967635391663653,-0.6095526411172626,-0.015366410877634282,0.25548569110797853,-0.11029788579236526
-1.4390768130163316,-0.7932557790322233,-0.6082862706708256,-0.015123498439969194,0.2541487355056983,-0.10878844937453405
-1.439262194678769,-0.7891105341185024,-0.6079365707295422,-0.01478556860591097,0.2527172042627468,-0.10756915990763828
-1.4385854328776737,-0.785753597649929,-0.6063910389719561,-0.014470621170767192,0.251614708952965,-0.10601905962197387
-1.438082985673803,-0.783353174463667,-0.6036755348456436,-0.014409418085927083,0.2513694198758093,-0.10422914422109696
-1.4377017978516717,-0.780225844983596,-0.6014282973930899,-0.014080946357272481,0.2508629889259723,-0.10196878016355566
-1.4377569025093924,-0.7771097144898357,-0.6003858813620389,-0.014092832049906434,0.24940405429535414,-0.09957326261256562
-1.4371907312380678,-0.7736986986624783,-0.5997692824769637,-0.014116685518282279,0.2474700983055704,-0.09768707811745257
-1.4377887846485709,-0.7709625767782975,-0.5968479967912143,-0.01425390253582618,0.24626500460061557,-0.09682253466713707
-1.4395552561336868,-0.767463127800124,-0.5928843893644877,-0.013907374892611044,0.24564019487090405,-0.09514485612754184
-1.4408244365503733,-0.7634310007610074,-0.5910734332257723,-0.013754875521406407,0.24448196501570957,-0.0940034143387046
-1.4427756020167466,-0.759420132531245,-0.5872736846464076,-0.013043162063273581,0.24420817972579859,-0.09267797372143852
-1.4443558297550374,-0.7549783949218243,-0.5850482870111059,-0.012480439020512483,0.24298740685556744,-0.09177742811614607
