,class,ankle,knee,hip,shoulder,neck,elbow
0,9,0.67295898,2.201212076,-2.413061131,-2.569574966,-1.056080036,1.038773394
1,9,0.671610415,2.203499326,-2.411744678,-2.568480114,-1.058448235,1.035936056
2,9,0.670885428,2.205509805,-2.41125933,-2.567234052,-1.060512719,1.033432231
3,9,0.669810752,2.207480504,-2.410525281,-2.566052657,-1.062499957,1.031134316
4,9,0.669141927,2.208472662,-2.408753411,-2.566625592,-1.065145542,1.03012605
5,9,0.66853351,2.209494541,-2.406902999,-2.56737702,-1.068183674,1.029128035
6,9,0.667740342,2.209950698,-2.404811734,-2.567876438,-1.070803935,1.028388079
7,9,0.666805853,2.210961242,-2.402914971,-2.568164958,-1.073740118,1.027219103
8,9,0.666470341,2.211296754,-2.401170845,-2.568562868,-1.076481469,1.026388687
9,9,0.665621774,2.211662253,-2.398737292,-2.569915888,-1.079210109,1.026307433
10,9,0.665261971,2.211404855,-2.396309036,-2.571608693,-1.081714933,1.026705882
11,9,0.665090774,2.211370798,-2.394530375,-2.573592457,-1.083976972,1.027633348
12,9,0.664477512,2.211314671,-2.392197517,-2.576686282,-1.086513248,1.029581279
13,9,0.664522487,2.211024905,-2.390515407,-2.579542368,-1.088931224,1.031518086
14,9,0.664354473,2.210434673,-2.388565999,-2.581769594,-1.091033755,1.033072626
15,9,0.664618993,2.210087837,-2.387267669,-2.585254382,-1.092703007,1.035860326
16,9,0.664784119,2.209590188,-2.385215674,-2.589066459,-1.094524374,1.038472315
17,9,0.665356942,2.208689973,-2.384306134,-2.591302369,-1.094856598,1.040645897
18,9,0.665659768,2.208097402,-2.38297687,-2.593375862,-1.094927428,1.042200165
19,9,0.666602843,2.206710851,-2.381334877,-2.595195598,-1.094890758,1.043342108
20,9,0.667167871,2.205240872,-2.378967745,-2.597037844,-1.095177757,1.044243372
21,9,0.667889261,2.203676457,-2.376991505,-2.598582869,-1.095305698,1.045176803
22,9,0.668321064,2.20226116,-2.375427756,-2.600478355,-1.094703231,1.047014139
23,9,0.668830223,2.200751159,-2.373645202,-2.602798218,-1.094163558,1.049074833
24,9,0.669504579,2.199450397,-2.372218211,-2.6058808,-1.093702484,1.051879824
25,9,0.670456877,2.197174503,-2.369675993,-2.608529619,-1.093971217,1.053833479
26,9,0.671835656,2.194527648,-2.367632014,-2.611026545,-1.093823372,1.056078413
27,9,0.672640581,2.191894365,-2.364440881,-2.614573896,-1.093762063,1.058787346
28,9,0.674181864,2.189646853,-2.362888724,-2.616185723,-1.093478729,1.060078066
29,9,0.675935278,2.187364723,-2.361285377,-2.618955562,-1.093774445,1.06229854
30,9,0.677198494,2.184797178,-2.358312975,-2.621366133,-1.094466962,1.063566762
31,9,0.678676603,2.182429985,-2.356363642,-2.623563596,-1.094351706,1.06523017
32,9,0.680016466,2.17997517,-2.353996704,-2.628077548,-1.094922165,1.069018755
33,9,0.681527538,2.176974378,-2.351102915,-2.632201203,-1.095223854,1.072265446
34,9,0.682915289,2.174224214,-2.348428671,-2.636768086,-1.095565081,1.076048037
35,9,0.683722447,2.171690643,-2.344867752,-2.641098197,-1.096232619,1.079071645
36,9,0.685079006,2.168896356,-2.342224601,-2.644725711,-1.096298284,1.082022205
37,9,0.686234785,2.166478767,-2.33922563,-2.649170991,-1.096763609,1.08525925
38,9,0.686810095,2.16322038,-2.334666041,-2.653237278,-1.097223684,1.087978401
39,9,0.687902295,2.160135777,-2.330826383,-2.659766364,-1.097613301,1.093190064
40,9,0.689200918,2.157265009,-2.327438581,-2.665419658,-1.097417894,1.097557995
41,9,0.69072078,2.153478375,-2.322702904,-2.673969456,-1.098417263,1.104169653
42,9,0.691675609,2.149996673,-2.318267767,-2.679482335,-1.097946509,1.108305462
43,9,0.69267493,2.146830514,-2.31441772,-2.685503636,-1.097705175,1.113175245
44,9,0.693909178,2.143700005,-2.310500847,-2.691131738,-1.097416828,1.117314847
