,class,ankle,knee,hip,shoulder,neck,elbow
0,3,1.512188503745305,1.9976767798019388,-2.0502448655340384,-2.41525846437182,-0.6446882407130885,1.112700364419422
1,3,1.5124611143646562,1.9979800006829969,-2.0501783509177702,-2.4148516461523934,-0.6463280029345128,1.1111345378179427
2,3,1.5126440409858277,1.9977663718499024,-2.0494148683811533,-2.415009786667459,-0.6482398056514692,1.1100694953546937
3,3,1.5128123615022122,1.9975532198560133,-2.0487240178070714,-2.414593020885601,-0.6498209612846694,1.1083889403278446
4,3,1.5132473784770746,1.9972604027611043,-2.048140955877538,-2.4145676621105925,-0.6517953969542131,1.1066090240719086
5,3,1.5134574874963813,1.9968040285107929,-2.047258611839199,-2.4136913230164887,-0.6535845723433761,1.1044843567104077
6,3,1.5134815058156692,1.9967561091880581,-2.0466866855666943,-2.4134070367011398,-0.6552225422057869,1.1031616412724388
7,3,1.5135632721533039,1.9965386323970638,-2.046078145362271,-2.412737677228481,-0.656634697318625,1.1024759219942384
8,3,1.5137080774248186,1.996406900347452,-2.0456188030223483,-2.4120880112792538,-0.6583960538376445,1.099484705046293
9,3,1.51385790901573,1.9961944414824533,-2.0450142939165534,-2.411666562919281,-0.6602080380097436,1.0981684210426765
10,3,1.5137867881728402,1.9962779513439992,-2.0444853206955553,-2.4117520111587476,-0.6622502678987443,1.0975231111878578
11,3,1.513874681765852,1.9960388126252715,-2.043788272117445,-2.4114302563048877,-0.6642154948238512,1.0957224512078627
12,3,1.513831301149172,1.996057140293086,-2.043192442832378,-2.411205691482011,-0.6661891136932272,1.094391929463407
13,3,1.5140033137632085,1.9963653258898475,-2.0431320434675504,-2.4105534908680575,-0.6679881686429724,1.0923508031337066
14,3,1.5141933105343317,1.9960522349646013,-2.0423963445274236,-2.410427572901845,-0.6697886291785518,1.0919334346830307
15,3,1.514256197336401,1.9957541994845016,-2.041516399183558,-2.4096738946585585,-0.6716658429557976,1.089780281180884
16,3,1.514363257157999,1.996105689892178,-2.041285683648531,-2.4095890655962378,-0.6738215024714612,1.0882975015113747
17,3,1.5144193827799148,1.995952039588797,-2.0405657580248917,-2.409328054211093,-0.6757198797576872,1.087518912295376
18,3,1.5144868824355369,1.996084915788817,-2.0402772288783444,-2.4091018710648373,-0.6775613401756766,1.085655514576351
19,3,1.5146756733753417,1.9957811799867757,-2.0396370339607977,-2.408907055755715,-0.6795471123766739,1.0840483188281236
20,3,1.514841517639576,1.99582970122339,-2.0393300315675464,-2.4088501280215637,-0.6816197399964131,1.0829745865977942
21,3,1.5152648732366172,1.9949051247190344,-2.038435870925772,-2.4085845773299863,-0.6837169306625159,1.08208971016922
22,3,1.5157834820397291,1.993613154834451,-2.03724545946263,-2.4084578406189934,-0.6858692948988763,1.081907881108624
23,3,1.5164075329386426,1.9924477562139131,-2.036164039930198,-2.408490207397139,-0.6880762350147878,1.081163870268091
24,3,1.5173593538114347,1.9908326191245695,-2.0349541046993096,-2.408664040286474,-0.6902778559002584,1.0801653832439764
25,3,1.518214480813917,1.9896384839536942,-2.0341213862479046,-2.408707364204953,-0.692568383221609,1.0803840701409775
26,3,1.5196226193716926,1.988573522002186,-2.034081098057003,-2.409008873988549,-0.6952487688277924,1.0811211680061532
27,3,1.521219525878146,1.9880962684570518,-2.0349534701361103,-2.40905454089809,-0.6981760696958133,1.0816436296268443
28,3,1.52251706538591,1.9884269258339398,-2.036654455704795,-2.409485641968133,-0.7005569934420773,1.082572051575564
29,3,1.5236576884948745,1.988166875170168,-2.0377986722671917,-2.4102404873326932,-0.7028506234729783,1.0853855408695485
30,3,1.5242756558203128,1.9883200626039823,-2.0390690166157226,-2.4107055274314027,-0.7055813575714731,1.0873765621913125
