,class,ankle,knee,hip,shoulder,neck,elbow
0,8,1.488846374,0.061089527,-0.007314208,-2.938632431,-1.01114114,0.399398231
1,8,1.488929486,0.06076629,-0.008332219,-2.938259956,-1.010310984,0.399327148
2,8,1.489238313,0.060075503,-0.009419625,-2.937779109,-1.009283647,0.400058008
3,8,1.489496734,0.059485396,-0.010396862,-2.936603131,-1.008338116,0.399117449
4,8,1.489704095,0.059015699,-0.011820802,-2.935081009,-1.007312301,0.39708788
5,8,1.489674107,0.059204495,-0.013948283,-2.935514456,-1.005735032,0.397607345
6,8,1.489895526,0.05924421,-0.016121531,-2.935430491,-1.004591477,0.397543339
7,8,1.490386289,0.059435131,-0.019101648,-2.933816416,-1.002952853,0.396464015
8,8,1.490771606,0.059298942,-0.021522293,-2.932111819,-1.001777233,0.395241385
9,8,1.491173509,0.059219992,-0.024328025,-2.93182216,-1.000663537,0.396319105
10,8,1.491522543,0.059507859,-0.027946031,-2.930290246,-0.998892886,0.396149012
11,8,1.492214827,0.059274255,-0.031462187,-2.929527389,-0.997271126,0.396835169
12,8,1.493176411,0.059098106,-0.035004347,-2.927953926,-0.996421602,0.396051575
13,8,1.494413317,0.058361181,-0.038358135,-2.926907771,-0.995881424,0.395583698
14,8,1.495690196,0.057735585,-0.04221638,-2.926818842,-0.994970472,0.395174755
15,8,1.496851193,0.057297295,-0.046113522,-2.924252517,-0.994697996,0.392984514
16,8,1.498267823,0.056685571,-0.049428517,-2.923599833,-0.995500666,0.393326477
17,8,1.499921444,0.055265503,-0.052522932,-2.92317304,-0.995999821,0.394055228
18,8,1.501388029,0.05567119,-0.057309442,-2.923301115,-0.997119295,0.39496202
19,8,1.503199085,0.054369705,-0.060671107,-2.919574149,-0.99826684,0.390125164
20,8,1.505167583,0.05330771,-0.064202916,-2.917327278,-0.999812145,0.387579284
21,8,1.507598499,0.050568639,-0.066591637,-2.917819287,-1.0017193,0.388394249
22,8,1.509479293,0.049832119,-0.070779933,-2.916097314,-1.003284142,0.387279397
23,8,1.511162085,0.047974095,-0.073301489,-2.91443669,-1.005772799,0.386924638
24,8,1.513484056,0.045425526,-0.075618262,-2.911612258,-1.00790336,0.386205368
25,8,1.515949491,0.041718274,-0.077162476,-2.909382647,-1.010197142,0.384543819
26,8,1.517844665,0.039665075,-0.080106841,-2.908397327,-1.012118037,0.384716577
27,8,1.519734597,0.037278633,-0.082270612,-2.908045754,-1.014269453,0.385616472
28,8,1.521902647,0.03346347,-0.083043889,-2.906013291,-1.01703059,0.383662562
29,8,1.523590119,0.030264474,-0.084389252,-2.903689128,-1.01910797,0.382735765
30,8,1.525412564,0.027004179,-0.085838706,-2.901711453,-1.021149544,0.383285795
31,8,1.52644602,0.025533541,-0.088129834,-2.900580212,-1.023338115,0.384466705
32,8,1.527386038,0.02423524,-0.090317964,-2.899293422,-1.025832507,0.385109915
33,8,1.528133095,0.023522206,-0.093540057,-2.897340876,-1.02752086,0.386139182
34,8,1.528642361,0.023462897,-0.097261721,-2.896344701,-1.028983214,0.387326264
35,8,1.52893542,0.024359348,-0.101580364,-2.893382401,-1.030966664,0.3864639
36,8,1.529152528,0.02512339,-0.105267048,-2.890135311,-1.033016419,0.384897699
37,8,1.528981974,0.027184297,-0.110190337,-2.888904049,-1.03446276,0.387222567
38,8,1.528850822,0.028535109,-0.114411464,-2.886834321,-1.036220453,0.38734804
39,8,1.528358501,0.030728729,-0.1193282,-2.884502368,-1.037613071,0.388169964
40,8,1.527882958,0.032402998,-0.123528042,-2.881978483,-1.038985394,0.387683415
